title,theme,frequency,frequency_pct,product_area,user_value_summary,top_evidence,signal_confidence,quality_flag
Reduce ads and restrictions in the free tier,Monetization,2099,53.9,Freemium Experience,Users want a more usable free tier with fewer ads and playback restrictions so they can enjoy music without constant interruptions or being forced to pay for core features.,"[""to much adds"", ""skip the ads"", ""the greed is so so high""]",0.8427,pass
Improve free tier experience and premium value proposition,Monetization,73,1.87,Freemium Experience,Users want a less restrictive free experience with fewer ads and a more valuable premium offering to enjoy music without constant interruptions or feeling the service is overpriced.,"[""you cannot play music of your own choice"", ""You have to get Spotify Premium to play any song"", ""I don't have a card ti pay for premium""]",0.8205,pass
"Improve podcast controls, personalization, and ad experience",UX,28,0.72,Podcasts,"Users want more granular control over podcast discovery, playback, and organization, including a truly ad-free premium option, to create a more personalized and uninterrupted listening experience.","[""and still have ads during podcasts"", ""Why do you show podcasts or \""mixes\"" of music i listened to for 1 minutes."", ""my home feed is cluttered with video podcasts!""]",0.8531,pass
Offer more flexible and affordable subscription plans and pricing,Monetization,26,0.67,Subscriptions & Billing,"Users want more diverse and affordable subscription plans, including regional pricing, discounts, and different payment cadences, to better match their specific needs and budgets.","[""more discounts per a month or two"", ""regular users will come back and subscribe"", ""monthly subscription is too overpriced in Kazakhstan""]",0.8411,pass
Improve audiobook access and value in premium subscriptions,Monetization,16,0.41,Audiobooks,"Users want more audiobook listening hours included in their premium subscriptions because the current limits feel too restrictive and devalue the subscription, especially for multi-user plans.","[""if you pay for premium you gotta still pay for more just to listen to audio books"", ""$11/mo for premium that comes with 15 hours/mo of audiobooks, to get an additional 10 hours of audiobooks costs $13. it'd be cheaper to get two accounts."", ""13 DOLLARS A MONTH FOR PREMIUM!?""]",0.8474,pass
Provide offline access and flexible data usage options,UX,15,0.39,Connectivity & Data Management,"Users want offline access and cellular data support to use the app anywhere, while also controlling data and storage consumption to reduce costs and save device space.","[""forcing people to choose premium with their own data"", ""didn't drain so much of my data"", ""an app that is conscious of this""]",0.8727,pass
Improve Free Tier & Reduce Monetization Friction,Monetization,13,81.25,Subscription & Free Tier,"Users want a more affordable, less ad-interrupted, and less restrictive experience, especially on the free tier, to enhance enjoyment and prevent churn.","[""to much adds"", ""skip the ads"", ""the greed is so so high""]",0.5837,review
Improve subscription value and pricing options,Monetization,2,0.05,Premium Subscriptions,"Users want a better value proposition for their subscription, either through a lower price or more bundled content, to increase affordability and perceived value.","[""reduce the you sub"", ""they took away Hulu from my subscription""]",0.6442,pass
Streamline search initiation and restore double-click functionality,UX,2,0.05,Search,"Users want to initiate a search more quickly with fewer taps, such as by restoring the familiar double-click gesture, to improve efficiency and leverage muscle memory.","[""when you tap the search button it should just bring up the keyboard so you can search instantly instead of having to tap the search button then tapping the search bar again"", ""give me the search on double-click search icon back"", ""It's so hardcoded in my muscle memory""]",0.926,pass
Add volume normalization setting for Fire Stick app,UX,1,0.03,Fire Stick App,Users want a volume normalization setting to prevent sudden volume changes between songs for a more consistent and less disruptive listening experience.,"[""can Spotify add the same setting for the app in the Amazon fire stick app"", ""play all songs at the same stable volume"", ""you don't get blasted by certain music, or alternatively, start to wonder if Spotify is still playing during lower volume music""]",0.9885,pass
