severity,title,frequency,frequency_pct,product_area,top_evidence,signal_confidence,quality_flag
P0,"Unreliable playback, frequent crashes, and account errors",1546,59.05,Core App,"[""App doesn't remember your location in podcasts."", ""it will give you some country song mid metal Playlist"", ""because apparently I want to hear about him and a sister when I'm just trying to listen to slipknot""]",0.5355,review
P0,Core playback fails: wrong song plays or playback stops,667,25.48,Playback,"[""it will give you some country song mid metal Playlist"", ""because apparently I want to hear about him and a sister when I'm just trying to listen to slipknot"", ""bad shuffling software""]",0.5763,review
P0,Ads shown to Premium users and ad frequency is excessive,332,12.68,Monetization,"[""twice (two separate times) it was interrupted with loud advertisements."", ""one started with ...\""have you been raped...\"" and the other \"" are you over 60 and are feeling sick....\"""", ""sucked cuz I had massage oil on my hands and I couldn't turn it down or turn it off.""]",0.5835,review
P0,"App suffers from frequent crashes, slow performance, and connectivity bugs",229,8.75,App Performance,"[""The AI is buggy and crashes when I use the voice request function"", ""Bad interface"", ""Only works 75% of the time""]",0.5626,review
P0,"Podcast playback fails, loses position, and restarts unexpectedly",71,2.71,Podcast Playback,"[""App doesn't remember your location in podcasts."", ""The app was restarting my podcast over every time I switched between apps."", ""every time l put the sleep timer on, it just keeps going even after finishing the episode""]",0.6109,review
P0,"App instability causing crashes, login, and playback failures",54,2.06,App Core,"[""not allowing me to play different songs"", ""Spotify is not responding multiple times today."", ""Spotify ads comes out suddenly\u2014out of nowhere not when I'm having a moment.""]",0.5854,review
P0,Premium subscription payment and activation failures,50,1.91,Billing & Subscriptions,"[""it's a slow app"", ""my first two weeks of free premium I haven't been able to use because it won't let me see anything"", ""contact us leads to AI support.""]",0.6035,review
P0,Subscription billing and cancellation failures cause incorrect charges,49,1.87,Billing & Subscriptions,"[""I would like to cancel but I can not find where to do so."", ""refused to refund a payment"", ""I didn't even realize was still active""]",0.5746,review
P1,"Music recommendation quality degraded, providing irrelevant and repetitive content",36,1.38,Personalization & Discovery,"[""payed promo thing for artists has self sabotaged your algorithm"", ""paye artist inside of a genre you listen to gets absolutely over pushed"", ""payed promo thing for artists has self sabotaged your algorithm.""]",0.5469,review
P0,Users blocked from login or are frequently logged out,26,0.99,Authentication,"[""constant log in request"", ""keeps kicking me off"", ""logging me out every 10 minutes""]",0.8798,pass
