source_type,title,reach,impact,signal_confidence,confidence_note,effort,rice_score
bug,"Unreliable playback, frequent crashes, and account errors",1546,P0,0.5355,Reflects data quality only — PM completes Confidence column,,
bug,Core playback fails: wrong song plays or playback stops,667,P0,0.5763,Reflects data quality only — PM completes Confidence column,,
bug,Ads shown to Premium users and ad frequency is excessive,332,P0,0.5835,Reflects data quality only — PM completes Confidence column,,
bug,"App suffers from frequent crashes, slow performance, and connectivity bugs",229,P0,0.5626,Reflects data quality only — PM completes Confidence column,,
bug,"Podcast playback fails, loses position, and restarts unexpectedly",71,P0,0.6109,Reflects data quality only — PM completes Confidence column,,
bug,"App instability causing crashes, login, and playback failures",54,P0,0.5854,Reflects data quality only — PM completes Confidence column,,
bug,Premium subscription payment and activation failures,50,P0,0.6035,Reflects data quality only — PM completes Confidence column,,
bug,Subscription billing and cancellation failures cause incorrect charges,49,P0,0.5746,Reflects data quality only — PM completes Confidence column,,
bug,"Music recommendation quality degraded, providing irrelevant and repetitive content",36,P1,0.5469,Reflects data quality only — PM completes Confidence column,,
bug,Users blocked from login or are frequently logged out,26,P0,0.8798,Reflects data quality only — PM completes Confidence column,,
bug,Unstable Bluetooth playback and aggressive auto-play on connect,22,P1,0.5884,Reflects data quality only — PM completes Confidence column,,
bug,Users report poor or degraded audio playback quality,18,P1,0.7964,Reflects data quality only — PM completes Confidence column,,
bug,Offline content downloads fail or are unexpectedly deleted,16,P0,0.5802,Reflects data quality only — PM completes Confidence column,,
bug,"Android Auto integration fails, blocking playback and navigation",16,P0,0.6059,Reflects data quality only — PM completes Confidence column,,
bug,Audio playback fails or routes to incorrect external device,12,P0,0.5799,Reflects data quality only — PM completes Confidence column,,
bug,"Critical App Stability, Playback, and Core Feature Issues",10,P0,0.5477,Reflects data quality only — PM completes Confidence column,,
bug,Premium subscription not activating after successful payment,10,P0,0.5965,Reflects data quality only — PM completes Confidence column,,
bug,Users unable to find or receive effective customer support,9,P1,0.5428,Reflects data quality only — PM completes Confidence column,,
bug,Unreliable audio playback with autoplay and quality degradation,9,P1,0.5333,Reflects data quality only — PM completes Confidence column,,
bug,User settings and playback progress fail to save persistently,7,P1,0.5489,Reflects data quality only — PM completes Confidence column,,
bug,Payment processing failing for multiple methods and card types,7,P0,0.8863,Reflects data quality only — PM completes Confidence column,,
bug,"Android app is unstable in background, causing crashes and freezes",6,P0,0.6097,Reflects data quality only — PM completes Confidence column,,
bug,Audiobook playback glitches and hour consumption issues,6,P0,0.5867,Reflects data quality only — PM completes Confidence column,,
bug,Severe performance issues: slow app load and search failures,6,P0,0.875,Reflects data quality only — PM completes Confidence column,,
bug,Severe performance degradation and data loss with SD card storage,5,P0,0.8532,Reflects data quality only — PM completes Confidence column,,
bug,Payment failures and subscription activation issues after purchase,5,P1,0.868,Reflects data quality only — PM completes Confidence column,,
bug,Paid premium subscriptions not recognized after successful payment,5,P0,0.6004,Reflects data quality only — PM completes Confidence column,,
bug,Background music playback stops or starts unexpectedly,5,P1,0.9009,Reflects data quality only — PM completes Confidence column,,
bug,Users are being double-charged for subscriptions and purchases,5,P0,0.8792,Reflects data quality only — PM completes Confidence column,,
bug,Spotify Connect device discovery and playback control issues,5,P1,0.8318,Reflects data quality only — PM completes Confidence column,,
bug,Unreliable song selection and playlist playback control,5,P1,0.5902,Reflects data quality only — PM completes Confidence column,,
bug,Security vulnerability causing account takeovers and data breaches,5,P0,0.6109,Reflects data quality only — PM completes Confidence column,,
bug,Premium subscription linked to critical bugs and feature failures,5,P0,0.5814,Reflects data quality only — PM completes Confidence column,,
bug,External media controls for playback and volume are unresponsive,4,P1,0.864,Reflects data quality only — PM completes Confidence column,,
bug,Tablet app has severe lag and incorrect song playback,4,P1,0.5905,Reflects data quality only — PM completes Confidence column,,
bug,Unexpected sharing and retention of sensitive user data,4,P1,0.5606,Reflects data quality only — PM completes Confidence column,,
bug,Xbox playback controls broken and music skips after ads,4,P1,0.6306,Reflects data quality only — PM completes Confidence column,,
bug,"Sleep timer is broken, missing, or interfering with looping",4,P1,0.5991,Reflects data quality only — PM completes Confidence column,,
bug,User data loss or inaccessible after account actions/reinstall,3,P0,0.8718,Reflects data quality only — PM completes Confidence column,,
bug,App crashes or freezes when accessing core features,3,P0,0.5993,Reflects data quality only — PM completes Confidence column,,
bug,"Users hitting playback, skip, and song selection limits",3,P1,0.6212,Reflects data quality only — PM completes Confidence column,,
bug,"UI is slow, unresponsive, and has layout issues",3,P1,0.5792,Reflects data quality only — PM completes Confidence column,,
bug,App accesses location and uses data without permission,3,P0,0.6125,Reflects data quality only — PM completes Confidence column,,
bug,Player swipe and tap gestures are broken or unresponsive,3,P1,0.8681,Reflects data quality only — PM completes Confidence column,,
bug,Recommendation algorithm ignores 'not interested' user feedback,3,P1,0.5902,Reflects data quality only — PM completes Confidence column,,
bug,Screen orientation broken on now playing and ad screens,3,P2,0.848,Reflects data quality only — PM completes Confidence column,,
bug,Android UI has performance and layout bugs,2,P2,0.5837,Reflects data quality only — PM completes Confidence column,,
bug,Premium users cannot launch the app while offline,2,P1,0.9425,Reflects data quality only — PM completes Confidence column,,
bug,Account creation and deletion flows are failing,2,P0,0.8912,Reflects data quality only — PM completes Confidence column,,
bug,Archived content like replays and playlists intermittently unavailable,2,P1,0.8219,Reflects data quality only — PM completes Confidence column,,
bug,Spotify playlist content not appearing after transfer or sync,2,P1,0.6198,Reflects data quality only — PM completes Confidence column,,
bug,Artist and song block/hide functionality is inconsistent or missing,2,P2,0.5899,Reflects data quality only — PM completes Confidence column,,
bug,Sound capsules are randomly disappearing from user accounts,2,P1,0.4638,Reflects data quality only — PM completes Confidence column,,
bug,Users reporting fraudulent or unexpected auto-payments,2,P1,0.8519,Reflects data quality only — PM completes Confidence column,,
bug,App crashes during notification handling or removal,2,P0,0.9283,Reflects data quality only — PM completes Confidence column,,
bug,User language setting is not respected in app/content,2,P2,0.865,Reflects data quality only — PM completes Confidence column,,
bug,Incorrect region restriction blocks login and signup,2,P1,0.9234,Reflects data quality only — PM completes Confidence column,,
bug,In-car experience bugs: banners and track skipping,2,P1,0.5998,Reflects data quality only — PM completes Confidence column,,
bug,Feed control and content reporting features are non-functional,2,P2,0.7953,Reflects data quality only — PM completes Confidence column,,
bug,Lock screen media player controls are broken or missing,2,P2,0.576,Reflects data quality only — PM completes Confidence column,,
bug,Spotify app fails to connect and function on Xiaomi Watch 2,2,P0,0.5989,Reflects data quality only — PM completes Confidence column,,
bug,Messaging fails to send despite good network connection,2,P1,0.822,Reflects data quality only — PM completes Confidence column,,
bug,Jam feature auto-enables without user consent,2,P2,0.5776,Reflects data quality only — PM completes Confidence column,,
bug,Album experience degraded by poor audio and organization,2,P1,0.5209,Reflects data quality only — PM completes Confidence column,,
bug,Spotify Premium Lite not recognized for Volumio Streamer connection,1,P1,0.63,Reflects data quality only — PM completes Confidence column,,
bug,Playback fails for specific music slide content,1,P1,0.7,Reflects data quality only — PM completes Confidence column,,
bug,Alarm autoplay ignores user preferences and hidden tracks,1,P1,0.9058,Reflects data quality only — PM completes Confidence column,,
bug,Offline downloads do not use SD card storage,1,P2,0.9,Reflects data quality only — PM completes Confidence column,,
bug,Downloaded songs missing from in-playlist search results,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
bug,Users cannot find background running permission settings,1,P2,1.0,Reflects data quality only — PM completes Confidence column,,
bug,App becomes unresponsive and disables keyboard on game launch,1,P1,1.0,Reflects data quality only — PM completes Confidence column,,
